Naive Bayes,0.5556,0.8824,0.5455,0.6684,0.6818,0.362,0.6684
Decision Tree,0.6842,0.7647,0.2727,0.746,0.7222,0.4881,0.746
Nearest Centroid,0.4167,0.2941,0.3182,0.488,0.3448,-0.0259,0.488
Naive Bayes,0.55,0.7333,0.3913,0.671,0.6286,0.3348,0.671
Decision Tree,0.5714,0.8,0.3913,0.7043,0.6667,0.4018,0.7043
Nearest Centroid,0.3571,0.3333,0.3913,0.471,0.3448,-0.0587,0.471
Naive Bayes,0.7586,0.88,0.5385,0.6708,0.8148,0.3811,0.6708
Decision Tree,0.8235,0.56,0.2308,0.6646,0.6667,0.3141,0.6646
Nearest Centroid,0.7,0.28,0.2308,0.5246,0.4,0.053,0.5246
Naive Bayes,0.6,0.2727,0.0741,0.5993,0.375,0.2665,0.5993
Decision Tree,0.6667,0.7273,0.1481,0.7896,0.6957,0.565,0.7896
Nearest Centroid,0.3077,0.3636,0.3333,0.5152,0.3333,0.029,0.5152
Naive Bayes,0.5,0.5625,0.4091,0.5767,0.5294,0.1517,0.5767
Decision Tree,0.5714,0.75,0.4091,0.6705,0.6486,0.3385,0.6705
Nearest Centroid,0.5556,0.3125,0.1818,0.5653,0.4,0.1518,0.5653
