Naive Bayes,0.0,0.0,0.0612,0.4694,0.0,-0.0257,0.4694
Decision Tree,0.0,0.0,0.051,0.4745,0.0,-0.0233,0.4745
Nearest Centroid,0.0,0.0,0.102,0.449,0.0,-0.0339,0.449
Naive Bayes,0.0,0.0,0.0909,0.9091,0.0,0.0,nan
Decision Tree,0.0,0.0,0.0303,0.9697,0.0,0.0,nan
Nearest Centroid,0.0,0.0,0.0404,0.9596,0.0,0.0,nan
Naive Bayes,0.037,0.25,0.2766,0.4867,0.0645,-0.0118,0.4867
Decision Tree,0.3333,0.25,0.0213,0.6144,0.2857,0.2627,0.6144
Nearest Centroid,0.0811,0.75,0.3617,0.6941,0.1463,0.1585,0.6941
Naive Bayes,0.2857,0.4,0.0538,0.6731,0.3333,0.2958,0.6731
Decision Tree,0.0,0.0,0.0108,0.4946,0.0,-0.0235,0.4946
Nearest Centroid,0.1667,0.2,0.0538,0.5731,0.1818,0.1342,0.5731
Naive Bayes,0.0,0.0,0.0309,0.4845,0.0,-0.018,0.4845
Decision Tree,0.0,0.0,0.0103,0.4948,0.0,-0.0103,0.4948
Nearest Centroid,0.0,0.0,0.0103,0.4948,0.0,-0.0103,0.4948
Naive Bayes Mean,0.0645,0.13,0.1027,0.6046,0.0796,0.0481,nan
Decision Tree Mean,0.0667,0.05,0.0247,0.6096,0.0571,0.0411,nan
Nearest Centroid Mean,0.0496,0.19,0.1136,0.6341,0.0656,0.0497,nan
