class,metric,ant,apache,camel,ivy,jedit,log4j,synapse,xalan,xerces
balance,C1,0.7653,0.9895,0.7114,0.5108,0.1545,0.3953,0.9209,0.0944,0.8219
balance,C2,0.4701,0.0286,0.5429,0.7477,0.9543,0.8319,0.1944,0.9755,0.3826
correlation,C1,,,,,,,,,
correlation,C2,0.2622,0.0891,0.1227,0.1879,0.0448,0.0804,0.231,0.0663,0.2839
correlation,C3,0.6338,0.7372,0.5763,0.5588,0.5324,0.578,0.7762,0.5275,0.6338
correlation,C4,0.7409,1,1,0.3722,0.0285,0.4341,0.9727,0,0.8878
dimensionality,T1,,,,,,,,,
dimensionality,T2,0.0268,0.0524,0.0207,0.0568,0.0407,0.0976,0.0781,0.022,0.034
dimensionality,T3,0.0027,0.0105,0.0021,0.0057,0.002,0.0098,0.0078,0.0022,0.0034
linearity,L1,0.2477,0.3937,0.2774,0.157,0.0475,0.1426,0.3139,0.0285,0.305
linearity,L2,0.1212,0.1917,0.137,0.0726,0.02,0.0624,0.1534,0.0117,0.1342
linearity,L3,0.1103,0.1828,0.1304,0.0661,0.018,0.0593,0.1421,0.011,0.1211
neighborhood,N1,0.3208,0.3822,0.3565,0.2159,0.0447,0.2195,0.4023,0.0396,0.2789
neighborhood,N2,0.3588,0.3232,0.3629,0.3285,0.2543,0.3588,0.378,0.1615,0.2667
neighborhood,N3,0.2067,0.1937,0.2435,0.1364,0.0325,0.122,0.2422,0.0121,0.1173
neighborhood,N4,0.0913,0.1728,0.1358,0.0739,0.0122,0.0293,0.0859,0.0308,0.0833
neighborhood,T1,0.0025,0.0135,0.0021,0.0082,0.0184,0.0161,0.0072,0.0294,0.0057
neighborhood,LSC,0.986,0.9659,0.9923,0.9533,0.887,0.9476,0.9797,0.8329,0.9601
network,Density,0.8658,0.8801,0.8627,0.8293,0.817,0.826,0.8805,0.8165,0.853
network,ClsCoef,0.3377,0.2232,0.3131,0.3564,0.3314,0.4158,0.3143,0.346,0.3429
network,Hubs,0.7665,0.9236,0.7608,0.7628,0.8789,0.8487,0.93,0.8564,0.8499
overlap,F1,0.9192,0.9776,0.9825,0.9432,0.9874,0.9922,0.9438,0.9973,0.9496
overlap,F1v,0.2882,0.4659,0.5203,0.2083,0.2048,0.3223,0.3313,0.3274,0.3118
overlap,F2,0,0.0061,0.0004,0.0005,0,0,0.0065,0,0
overlap,F3,0.9074,0.9476,0.9513,0.7102,0.5915,0.6585,0.9141,0.3399,0.8129
overlap,F4,0.8295,0.8325,0.8487,0.3977,0.0671,0.1659,0.7227,0.0055,0.699
smoothness,S1,0.2191,0.2474,0.2541,0.1453,0.0285,0.152,0.2824,0.0319,0.201
smoothness,S2,0.141,0.1178,0.1389,0.146,0.1417,0.1556,0.1638,0.1538,0.1479
smoothness,S3,0.2067,0.1937,0.2466,0.1364,0.0325,0.122,0.2422,0.0121,0.1122
smoothness,S4,0.0847,0.1273,0.1608,0.0716,0.0215,0.0285,0.13,0.0209,0.1056
