Naive Bayes,0.65,0.5417,0.25,0.6458,0.5909,0.2989,0.6458
Decision Tree,0.6087,0.5833,0.3214,0.631,0.5957,0.2629,0.631
Nearest Centroid,0.8,0.5,0.1071,0.6964,0.6154,0.4323,0.6964
Naive Bayes,0.6154,0.5333,0.1389,0.6972,0.5714,0.4124,0.6972
Decision Tree,0.5882,0.6667,0.1944,0.7361,0.625,0.4564,0.7361
Nearest Centroid,0.6875,0.7333,0.1389,0.7972,0.7097,0.5837,0.7972
Naive Bayes,0.5294,0.6429,0.2162,0.7133,0.5806,0.4039,0.7133
Decision Tree,0.5,0.8571,0.3243,0.7664,0.6316,0.4764,0.7664
Nearest Centroid,0.5333,0.5714,0.1892,0.6911,0.5517,0.3744,0.6911
Naive Bayes,0.5455,0.3158,0.1562,0.5798,0.4,0.1875,0.5798
Decision Tree,0.3125,0.2632,0.3438,0.4597,0.2857,-0.084,0.4597
Nearest Centroid,0.6154,0.4211,0.1562,0.6324,0.5,0.2938,0.6324
Naive Bayes,0.4091,0.6429,0.3514,0.6458,0.5,0.2627,0.6458
Decision Tree,0.3684,0.5,0.3243,0.5878,0.4242,0.1622,0.5878
Nearest Centroid,0.6,0.4286,0.1081,0.6602,0.5,0.3602,0.6602
Naive Bayes Mean,0.5499,0.5353,0.2225,0.6564,0.5286,0.3131,0.6564
Decision Tree Mean,0.4756,0.5741,0.3016,0.6362,0.5124,0.2548,0.6362
Nearest Centroid Mean,0.6472,0.5309,0.1399,0.6955,0.5754,0.4089,0.6955
