Naive Bayes,0.9939,0.9061,1.0,0.453,0.948,-0.0239,0.453
Decision Tree,1.0,0.5083,0.0,0.7541,0.674,0.0752,0.7541
Nearest Centroid,1.0,0.5138,0.0,0.7569,0.6788,0.076,0.7569
Naive Bayes,1.0,0.9724,0.0,0.9862,0.986,0.4026,0.9862
Decision Tree,1.0,0.674,0.0,0.837,0.8053,0.106,0.837
Nearest Centroid,1.0,0.6851,0.0,0.8425,0.8131,0.1087,0.8425
Naive Bayes,0.9833,1.0,0.6,0.7,0.9916,0.6272,0.7
Decision Tree,0.9867,0.8362,0.4,0.7181,0.9052,0.1873,0.7181
Nearest Centroid,1.0,0.2825,0.0,0.6412,0.4405,0.1034,0.6412
Naive Bayes,0.9938,0.8939,0.3333,0.7803,0.9412,0.2234,0.7803
Decision Tree,1.0,0.8492,0.0,0.9246,0.9184,0.2914,0.9246
Nearest Centroid,1.0,0.4302,0.0,0.7151,0.6016,0.1109,0.7151
Naive Bayes,1.0,0.9833,0.0,0.9917,0.9916,0.4958,0.9917
Decision Tree,1.0,0.7111,0.0,0.8556,0.8312,0.1158,0.8556
Nearest Centroid,1.0,0.55,0.0,0.775,0.7097,0.0819,0.775
Naive Bayes Mean,0.9942,0.9511,0.3867,0.7822,0.9717,0.345,0.7822
Decision Tree Mean,0.9973,0.7158,0.08,0.8179,0.8268,0.1551,0.8179
Nearest Centroid Mean,1.0,0.4923,0.0,0.7461,0.6487,0.0962,0.7461
